COG_DAT,MAGAZZINO,UPV_COD,CO1_NEC,CO1_PEK,Year,Quarter,Month,Week,Weekday,Dayofmonth,Dayofyear
1/2/2024,BAZA,46,3,0.6,2024,1,1,1,1,2,2
1/2/2024,BAZA,99,3,0.6,2024,1,1,1,1,2,2
1/2/2024,BAZA,563,0,0.6,2024,1,1,1,1,2,2
1/2/2024,BAZA,564,0,0.6,2024,1,1,1,1,2,2
1/2/2024,BAZA,721,3,0.6,2024,1,1,1,1,2,2
1/2/2024,BAZA,821,16,0.6,2024,1,1,1,1,2,2
1/2/2024,BAZA,896,10,0.6,2024,1,1,1,1,2,2
1/2/2024,BAZA,900,2,0.6,2024,1,1,1,1,2,2
1/2/2024,BZ SF,444,2,0.8,2024,1,1,1,1,2,2
1/2/2024,BZ SF,480,28,1.4,2024,1,1,1,1,2,2
1/2/2024,BZ SF,522,5,1.6,2024,1,1,1,1,2,2
1/2/2024,BZ SF,523,5,0.8,2024,1,1,1,1,2,2
1/2/2024,BZ SF,772,0,1.6,2024,1,1,1,1,2,2
1/2/2024,BZ SF,793,2,0.7,2024,1,1,1,1,2,2
1/2/2024,BZ SF,794,2,0.7,2024,1,1,1,1,2,2
1/2/2024,BZ SF,881,9,1.8,2024,1,1,1,1,2,2
1/3/2024,BAZA,91,0,1.2,2024,1,1,1,2,3,3
1/3/2024,BAZA,152,2,1.2,2024,1,1,1,2,3,3
1/3/2024,BAZA,154,0,0.6,2024,1,1,1,2,3,3
1/3/2024,BAZA,159,1,1.8,2024,1,1,1,2,3,3
1/3/2024,BAZA,160,2,0.6,2024,1,1,1,2,3,3
1/3/2024,BAZA,188,2,0.6,2024,1,1,1,2,3,3
1/3/2024,BAZA,363,0,0.6,2024,1,1,1,2,3,3
1/3/2024,BAZA,369,2,0.6,2024,1,1,1,2,3,3
1/3/2024,BAZA,447,4,0.6,2024,1,1,1,2,3,3
1/3/2024,BAZA,485,0,0.6,2024,1,1,1,2,3,3
1/3/2024,BAZA,535,15,1.3,2024,1,1,1,2,3,3
1/3/2024,BAZA,921,0,0.6,2024,1,1,1,2,3,3
1/3/2024,BAZA,944,2,1.2,2024,1,1,1,2,3,3
1/3/2024,BZ SF,555,2,1.6,2024,1,1,1,2,3,3
1/3/2024,BZ SF,556,2,0.8,2024,1,1,1,2,3,3
1/3/2024,BZ SF,587,4,4.3,2024,1,1,1,2,3,3
1/3/2024,BZ SF,601,13,2.8,2024,1,1,1,2,3,3
1/3/2024,BZ SF,635,1,1.4,2024,1,1,1,2,3,3
1/3/2024,BZ SF,707,2,0.35,2024,1,1,1,2,3,3
1/3/2024,BZ SF,728,10,1.4,2024,1,1,1,2,3,3
1/3/2024,BZ SF,826,10,1.4,2024,1,1,1,2,3,3
1/3/2024,BZ SF,832,15,1.4,2024,1,1,1,2,3,3
1/3/2024,BZ SF,833,0,1.4,2024,1,1,1,2,3,3
1/3/2024,BZ SF,850,6,1.2,2024,1,1,1,2,3,3
1/3/2024,BZ SF,879,11,1.8,2024,1,1,1,2,3,3
1/4/2024,BAZA,16,7,0.6,2024,1,1,1,3,4,4
1/4/2024,BAZA,130,10,0.6,2024,1,1,1,3,4,4
1/4/2024,BAZA,133,14,0.6,2024,1,1,1,3,4,4
1/4/2024,BAZA,144,8,0.6,2024,1,1,1,3,4,4
1/4/2024,BAZA,145,1,0.6,2024,1,1,1,3,4,4
1/4/2024,BAZA,195,0,0.6,2024,1,1,1,3,4,4
1/4/2024,BAZA,533,6,1.2,2024,1,1,1,3,4,4
1/4/2024,BAZA,563,0,0.6,2024,1,1,1,3,4,4
1/4/2024,BAZA,564,0,0.6,2024,1,1,1,3,4,4
1/4/2024,BAZA,592,1,0.6,2024,1,1,1,3,4,4
1/4/2024,BAZA,593,1,0.6,2024,1,1,1,3,4,4
1/4/2024,BAZA,673,2,0.6,2024,1,1,1,3,4,4
1/4/2024,BAZA,708,4,0.6,2024,1,1,1,3,4,4
1/4/2024,BAZA,723,2,0.6,2024,1,1,1,3,4,4
1/4/2024,BAZA,787,13,1.2,2024,1,1,1,3,4,4
1/4/2024,BAZA,822,0,0.6,2024,1,1,1,3,4,4
1/4/2024,BAZA,838,1,0.6,2024,1,1,1,3,4,4
1/4/2024,BAZA,839,1,0.6,2024,1,1,1,3,4,4
1/4/2024,BAZA,930,13,0.6,2024,1,1,1,3,4,4
1/4/2024,BZ SF,514,0,0.8,2024,1,1,1,3,4,4
1/4/2024,BZ SF,530,0,1.6,2024,1,1,1,3,4,4
1/4/2024,BZ SF,580,18,2.8,2024,1,1,1,3,4,4
1/4/2024,BZ SF,630,2,0.7,2024,1,1,1,3,4,4
1/4/2024,BZ SF,679,0,1.4,2024,1,1,1,3,4,4
1/4/2024,BZ SF,682,0,1.4,2024,1,1,1,3,4,4
1/4/2024,BZ SF,750,0,1.4,2024,1,1,1,3,4,4
1/4/2024,BZ SF,770,4,1.4,2024,1,1,1,3,4,4
1/4/2024,BZ SF,780,1,1.4,2024,1,1,1,3,4,4
1/4/2024,BZ SF,792,1,0.7,2024,1,1,1,3,4,4
1/4/2024,BZ SF,808,0,1.4,2024,1,1,1,3,4,4
1/4/2024,BZ SF,811,4,1.4,2024,1,1,1,3,4,4
1/4/2024,BZ SF,857,5,1.4,2024,1,1,1,3,4,4
1/4/2024,BZ SF,881,5,1.8,2024,1,1,1,3,4,4
1/4/2024,BZ SF,888,5,1.4,2024,1,1,1,3,4,4
1/4/2024,BZ SF,889,5,1.4,2024,1,1,1,3,4,4
1/5/2024,BAZA,31,1,0.6,2024,1,1,1,4,5,5
1/5/2024,BAZA,63,2,0.6,2024,1,1,1,4,5,5
1/5/2024,BAZA,366,1,0.6,2024,1,1,1,4,5,5
1/5/2024,BAZA,409,7,0.6,2024,1,1,1,4,5,5
1/5/2024,BAZA,438,7,0.6,2024,1,1,1,4,5,5
1/5/2024,BAZA,519,3,0.6,2024,1,1,1,4,5,5
1/5/2024,BAZA,535,11,1.3,2024,1,1,1,4,5,5
1/5/2024,BAZA,604,3,0.6,2024,1,1,1,4,5,5
1/5/2024,BAZA,721,4,0.6,2024,1,1,1,4,5,5
1/5/2024,BAZA,767,21,0.6,2024,1,1,1,4,5,5
1/5/2024,BAZA,896,8,0.6,2024,1,1,1,4,5,5
1/5/2024,BAZA,923,4,0.6,2024,1,1,1,4,5,5
1/5/2024,BAZA,926,0,0.6,2024,1,1,1,4,5,5
1/5/2024,BAZA,927,13,0.6,2024,1,1,1,4,5,5
1/5/2024,BAZA,935,4,0.6,2024,1,1,1,4,5,5
1/5/2024,BZ SF,415,2,0.7,2024,1,1,1,4,5,5
1/5/2024,BZ SF,480,9,1.4,2024,1,1,1,4,5,5
1/5/2024,BZ SF,491,1,1.4,2024,1,1,1,4,5,5
1/5/2024,BZ SF,497,8,1.4,2024,1,1,1,4,5,5
1/5/2024,BZ SF,635,4,1.4,2024,1,1,1,4,5,5
1/5/2024,BZ SF,663,5,1.2,2024,1,1,1,4,5,5
1/5/2024,BZ SF,668,10,2.4,2024,1,1,1,4,5,5
1/5/2024,BZ SF,730,0,1.4,2024,1,1,1,4,5,5
1/5/2024,BZ SF,756,6,1.4,2024,1,1,1,4,5,5
1/5/2024,BZ SF,813,1,0.8,2024,1,1,1,4,5,5
1/5/2024,BZ SF,852,12,1.2,2024,1,1,1,4,5,5
1/7/2024,BZ SF,601,18,2.8,2024,1,1,1,6,7,7
1/8/2024,BAZA,84,4,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,152,5,1.2,2024,1,1,2,0,8,8
1/8/2024,BAZA,159,7,1.8,2024,1,1,2,0,8,8
1/8/2024,BAZA,160,4,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,362,4,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,363,4,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,369,7,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,417,1,1.4,2024,1,1,2,0,8,8
1/8/2024,BAZA,423,2,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,485,5,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,519,1,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,528,0,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,563,0,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,564,0,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,673,2,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,723,2,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,896,7,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,900,1,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,915,19,1.2,2024,1,1,2,0,8,8
1/8/2024,BAZA,921,5,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,949,0,0.6,2024,1,1,2,0,8,8
1/8/2024,BAZA,53450017,0,0.6,2024,1,1,2,0,8,8
1/8/2024,BZ SF,402,21,1.2,2024,1,1,2,0,8,8
1/8/2024,BZ SF,480,5,1.4,2024,1,1,2,0,8,8
1/8/2024,BZ SF,653,2,1.4,2024,1,1,2,0,8,8
1/8/2024,BZ SF,728,15,1.4,2024,1,1,2,0,8,8
1/8/2024,BZ SF,826,4,1.4,2024,1,1,2,0,8,8
1/8/2024,BZ SF,832,14,1.4,2024,1,1,2,0,8,8
1/8/2024,BZ SF,833,1,1.4,2024,1,1,2,0,8,8
1/8/2024,BZ SF,850,16,1.2,2024,1,1,2,0,8,8
1/8/2024,BZ SF,859,3,1.4,2024,1,1,2,0,8,8
1/8/2024,BZ SF,881,21,1.8,2024,1,1,2,0,8,8
1/9/2024,BAZA,16,6,0.6,2024,1,1,2,1,9,9
1/9/2024,BAZA,46,10,0.6,2024,1,1,2,1,9,9
1/9/2024,BAZA,66,8,0.6,2024,1,1,2,1,9,9
1/9/2024,BAZA,67,8,0.6,2024,1,1,2,1,9,9
1/9/2024,BAZA,99,1,0.6,2024,1,1,2,1,9,9
1/9/2024,BAZA,103,2,0.6,2024,1,1,2,1,9,9
1/9/2024,BAZA,195,0,0.6,2024,1,1,2,1,9,9
1/9/2024,BAZA,351,2,0.6,2024,1,1,2,1,9,9
1/9/2024,BAZA,438,0,0.6,2024,1,1,2,1,9,9
1/9/2024,BAZA,536,0,0,2024,1,1,2,1,9,9
1/9/2024,BAZA,574,2,0.6,2024,1,1,2,1,9,9
1/9/2024,BAZA,721,10,0.6,2024,1,1,2,1,9,9
1/9/2024,BAZA,821,7,0.6,2024,1,1,2,1,9,9
1/9/2024,BAZA,822,0,0.6,2024,1,1,2,1,9,9
1/9/2024,BAZA,904,4,0.6,2024,1,1,2,1,9,9
1/9/2024,BAZA,910,4,0.6,2024,1,1,2,1,9,9
1/9/2024,BAZA,937,13,0.6,2024,1,1,2,1,9,9
1/9/2024,BAZA,940,13,1.2,2024,1,1,2,1,9,9
1/9/2024,BZ SF,444,1,0.8,2024,1,1,2,1,9,9
1/9/2024,BZ SF,522,4,1.6,2024,1,1,2,1,9,9
1/9/2024,BZ SF,523,4,0.8,2024,1,1,2,1,9,9
1/9/2024,BZ SF,635,0,1.4,2024,1,1,2,1,9,9
1/9/2024,BZ SF,766,5,1.6,2024,1,1,2,1,9,9
1/9/2024,BZ SF,772,1,1.6,2024,1,1,2,1,9,9
1/9/2024,BZ SF,813,0,0.8,2024,1,1,2,1,9,9
1/9/2024,BZ SF,888,1,1.4,2024,1,1,2,1,9,9
1/9/2024,BZ SF,889,1,1.4,2024,1,1,2,1,9,9
1/10/2024,BAZA,188,3,0.6,2024,1,1,2,2,10,10
1/10/2024,BAZA,409,7,0.6,2024,1,1,2,2,10,10
1/10/2024,BAZA,535,21,1.3,2024,1,1,2,2,10,10
1/10/2024,BAZA,843,0,0.6,2024,1,1,2,2,10,10
1/10/2024,BAZA,844,0,0.6,2024,1,1,2,2,10,10
1/10/2024,BAZA,896,2,0.6,2024,1,1,2,2,10,10
1/10/2024,BAZA,915,18,1.2,2024,1,1,2,2,10,10
1/10/2024,BAZA,944,2,1.2,2024,1,1,2,2,10,10
1/10/2024,BZ SF,555,0,1.6,2024,1,1,2,2,10,10
1/10/2024,BZ SF,556,0,0.8,2024,1,1,2,2,10,10
1/10/2024,BZ SF,740,0,1.6,2024,1,1,2,2,10,10
1/10/2024,BZ SF,762,9,1.4,2024,1,1,2,2,10,10
1/10/2024,BZ SF,829,10,1.4,2024,1,1,2,2,10,10
1/10/2024,BZ SF,868,4,1.4,2024,1,1,2,2,10,10
1/10/2024,BZ SF,879,12,1.8,2024,1,1,2,2,10,10
1/11/2024,BAZA,130,14,0.6,2024,1,1,2,3,11,11
1/11/2024,BAZA,133,22,0.6,2024,1,1,2,3,11,11
1/11/2024,BAZA,392,7,0.6,2024,1,1,2,3,11,11
1/11/2024,BAZA,423,10,0.6,2024,1,1,2,3,11,11
1/11/2024,BAZA,533,15,1.2,2024,1,1,2,3,11,11
1/11/2024,BAZA,563,4,0.6,2024,1,1,2,3,11,11
1/11/2024,BAZA,564,4,0.6,2024,1,1,2,3,11,11
